id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_kekerasan,jumlah_korban,satuan,tahun
132,32,JAWA BARAT,3271,KOTA BOGOR,PENELANTARAN,0,ORANG,2017
133,32,JAWA BARAT,3271,KOTA BOGOR,LAINNYA,0,ORANG,2017
134,32,JAWA BARAT,3272,KOTA SUKABUMI,FISIK,1,ORANG,2017
135,32,JAWA BARAT,3272,KOTA SUKABUMI,PSIKIS,1,ORANG,2017
136,32,JAWA BARAT,3272,KOTA SUKABUMI,SEKSUAL,2,ORANG,2017
137,32,JAWA BARAT,3272,KOTA SUKABUMI,EKSPLOITASI,0,ORANG,2017
138,32,JAWA BARAT,3272,KOTA SUKABUMI,TRAFFICKING,0,ORANG,2017
139,32,JAWA BARAT,3272,KOTA SUKABUMI,PENELANTARAN,0,ORANG,2017
140,32,JAWA BARAT,3272,KOTA SUKABUMI,LAINNYA,0,ORANG,2017
141,32,JAWA BARAT,3273,KOTA BANDUNG,FISIK,20,ORANG,2017
142,32,JAWA BARAT,3273,KOTA BANDUNG,PSIKIS,24,ORANG,2017
143,32,JAWA BARAT,3273,KOTA BANDUNG,SEKSUAL,8,ORANG,2017
144,32,JAWA BARAT,3273,KOTA BANDUNG,EKSPLOITASI,0,ORANG,2017
145,32,JAWA BARAT,3273,KOTA BANDUNG,TRAFFICKING,3,ORANG,2017
146,32,JAWA BARAT,3273,KOTA BANDUNG,PENELANTARAN,4,ORANG,2017
147,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,11,ORANG,2017
148,32,JAWA BARAT,3274,KOTA CIREBON,FISIK,3,ORANG,2017
149,32,JAWA BARAT,3274,KOTA CIREBON,PSIKIS,2,ORANG,2017
150,32,JAWA BARAT,3274,KOTA CIREBON,SEKSUAL,3,ORANG,2017
151,32,JAWA BARAT,3274,KOTA CIREBON,EKSPLOITASI,0,ORANG,2017
152,32,JAWA BARAT,3274,KOTA CIREBON,TRAFFICKING,0,ORANG,2017
153,32,JAWA BARAT,3274,KOTA CIREBON,PENELANTARAN,0,ORANG,2017
154,32,JAWA BARAT,3274,KOTA CIREBON,LAINNYA,1,ORANG,2017
155,32,JAWA BARAT,3275,KOTA BEKASI,FISIK,0,ORANG,2017
156,32,JAWA BARAT,3275,KOTA BEKASI,PSIKIS,1,ORANG,2017
157,32,JAWA BARAT,3275,KOTA BEKASI,SEKSUAL,0,ORANG,2017
158,32,JAWA BARAT,3275,KOTA BEKASI,EKSPLOITASI,0,ORANG,2017
159,32,JAWA BARAT,3275,KOTA BEKASI,TRAFFICKING,0,ORANG,2017
160,32,JAWA BARAT,3275,KOTA BEKASI,PENELANTARAN,2,ORANG,2017
161,32,JAWA BARAT,3275,KOTA BEKASI,LAINNYA,0,ORANG,2017
162,32,JAWA BARAT,3276,KOTA DEPOK,FISIK,1,ORANG,2017
163,32,JAWA BARAT,3276,KOTA DEPOK,PSIKIS,1,ORANG,2017
164,32,JAWA BARAT,3276,KOTA DEPOK,SEKSUAL,0,ORANG,2017
165,32,JAWA BARAT,3276,KOTA DEPOK,EKSPLOITASI,0,ORANG,2017
166,32,JAWA BARAT,3276,KOTA DEPOK,TRAFFICKING,0,ORANG,2017
167,32,JAWA BARAT,3276,KOTA DEPOK,PENELANTARAN,1,ORANG,2017
168,32,JAWA BARAT,3276,KOTA DEPOK,LAINNYA,0,ORANG,2017
169,32,JAWA BARAT,3277,KOTA CIMAHI,FISIK,1,ORANG,2017
170,32,JAWA BARAT,3277,KOTA CIMAHI,PSIKIS,1,ORANG,2017
171,32,JAWA BARAT,3277,KOTA CIMAHI,SEKSUAL,0,ORANG,2017
